id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,first_review_date,last_review_date_in_window
10000390-mickey,2,1,1,2,0.5,0.0,mixed,1.0986122886681098,2004-05-06,2004-05-06
10000_bc,78,5,73,30,0.0641025641025641,-0.8602150537634409,negative,4.3694478524670215,2008-03-07,2008-03-16
10000_km,2,2,0,1,1.0,1.0,positive,1.0986122886681098,2015-07-10,2015-07-17
10002008-charly,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,2002-10-03,2002-10-03
10002516-lost_city,1,0,1,0,0.0,-1.0,negative,0.6931471805599453,2005-09-03,2005-09-03
10002625-hero,4,1,3,3,0.25,-0.4545454545454545,negative,1.6094379124341005,2003-04-15,2003-04-15
10003276-criminal,45,33,12,21,0.7333333333333333,0.4414414414414414,positive,3.828641396489095,2004-09-10,2004-09-19
10003645-twin_sisters,2,1,1,2,0.5,0.0,mixed,1.0986122886681098,2005-05-06,2005-05-10
10004288-running_scared,70,26,44,22,0.3714285714285714,-0.2716049382716049,negative,4.262679877041316,2006-02-24,2006-03-04
10004352-going_the_distance,3,0,3,2,0.0,-1.0,negative,1.3862943611198906,2004-08-20,2004-08-20
10004504-ultraviolet,49,5,44,19,0.1020408163265306,-0.8290598290598291,negative,3.912023005428146,2006-03-03,2006-03-10
10004659-arthur,40,5,35,14,0.125,-0.7872340425531915,negative,3.713572066704308,2007-01-12,2007-01-18
10004925-matador,20,16,4,2,0.8,0.5714285714285714,positive,3.044522437723423,2006-01-27,2006-02-04
10005057-smile,2,0,2,2,0.0,-1.0,negative,1.0986122886681098,2005-04-08,2005-04-08
10005178-saint_ralph,19,10,9,11,0.5263157894736842,0.0204081632653061,mixed,2.995732273553991,2005-08-05,2005-08-12
10005403-the_baxter,22,9,13,9,0.4090909090909091,-0.320754716981132,negative,3.1354942159291497,2005-08-26,2005-09-03
10005409-dirty_deeds,4,0,4,3,0.0,-1.0,negative,1.6094379124341005,2005-08-26,2005-08-29
10005499-oliver_twist,49,27,22,17,0.5510204081632653,0.0608695652173913,mixed,3.912023005428146,2005-09-30,2005-10-08
10006007-the_second_chance,8,3,5,6,0.375,-0.2727272727272727,negative,2.19722457733622,2006-02-17,2006-02-21
10006109-magician,4,2,2,1,0.5,-0.1111111111111111,mixed,1.6094379124341005,2010-10-29,2010-11-05
10006188-rise,6,2,4,2,0.3333333333333333,-0.1428571428571428,mixed,1.9459101490553128,2007-06-01,2007-06-04
10006321,5,0,5,3,0.0,-1.0,negative,1.791759469228055,2005-12-15,2005-12-21
10006326-bluff_master,2,1,1,1,0.5,-0.2,negative,1.0986122886681098,2005-12-20,2005-12-22
10006370-stay_alive,35,3,32,15,0.0857142857142857,-0.8352941176470589,negative,3.58351893845611,2006-03-24,2006-04-01
10006485-black_gold,9,6,3,7,0.6666666666666666,0.28,positive,2.302585092994046,2006-10-06,2006-10-12
10006490,6,4,2,2,0.6666666666666666,0.4285714285714285,positive,1.9459101490553128,2007-02-23,2007-03-03
10006630-life_of_reilly,15,15,0,9,1.0,1.0,positive,2.772588722239781,2007-11-09,2007-11-17
10007305-close_to_home,14,11,3,6,0.7857142857142857,0.5882352941176471,positive,2.70805020110221,2007-02-16,2007-02-25
10007415-amazing_grace,45,37,8,13,0.8222222222222222,0.6310679611650486,positive,3.828641396489095,2007-02-23,2007-03-03
