id,title,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix
space-zombie-bingo,Space Zombie Bingo!,50,,,,,2018-08-25,75,"Comedy, Horror, Sci-fi",English,George Ormrod,"George Ormrod,John Sabotta",,,
the_green_grass,The Green Grass,,,,,,2020-02-11,114,Drama,English,Tiffany Edwards,Tiffany Edwards,,,
love_lies,"Love, Lies",43,,,,,,120,Drama,Korean,"Park Heung-Sik,Heung-Sik Park","Ha Young-Joon,Jeon Yun-su,Song Hye-jin",,,
the_sore_losers_1997,Sore Losers,60,,,,,2020-10-23,90,"Action, Mystery & thriller",English,John Michael McCarthy,John Michael McCarthy,,,
dinosaur_island_2002,Dinosaur Island,70,,,,,2017-03-27,80,"Fantasy, Adventure, Animation",English,Will Meugniot,John Loy,,,
adrift_2018,Adrift,65,69,PG-13,"['Injury Images', 'Brief Drug Use', 'Thematic Elements', 'Language', 'Partial Nudity', 'Peril']",2018-06-01,2018-08-21,120,"Adventure, Drama, Romance",English,Baltasar Kormákur,"Aaron Kandell,Jordan Kandell,David Branson Smith",$31.4M,STX Films,
malta-con-huevo-scrambled-beer,Scrambled Beer,55,,,,,2015-10-05,88,Comedy,Spanish,Cristobal Valderrama,Cristobal Valderrama,,,
kakabakaba-ka-ba,Kakabakaba ka ba? (Will Your Heart Beat Faster?),88,,,,,,,,,Mike de Leon,,,,
sundowning,Sundowning,,,,,,,123,Drama,English,Jim Comas Cole,,,,
1035316-born_to_kill,Born to Kill,74,83,,,1947-04-30,2016-05-23,92,"Crime, Drama",English,Robert Wise,"Eve Greene,Richard Macaulay",,,
1015331-number_one_with_a_bullet,Number One With a Bullet,19,,,,,2012-03-13,103,"Crime, Drama",English,Jack Smight,,,,
garden_murder_case,The Garden Murder Case,,,,,,2016-10-20,61,Mystery & thriller,English,Edwin L. Marin,,,,
margarita_happy_hour,Margarita Happy Hour,,76,,,2002-03-22,,98,Drama,English,Ilya Chaiken,Ilya Chaiken,$11.5K,Passport Pictures,Surround
leap_of_faith_2019,Leap of Faith: William Friedkin on The Exorcist,86,93,,,,2020-11-19,104,"Documentary, Mystery & thriller",English,Alexandre O. Philippe,Alexandre O. Philippe,,,
shake-rattle-roll-3,Shake Rattle & Roll 3,89,,,,,2019-01-04,120,"Comedy, Horror",Tagalog,"Peque Gallaga,Lore Reyes",,,,
daag_1973,The Stain,82,,,,,2003-11-25,146,Drama,Hindi,Yash Chopra,"Yash Chopra,Gulshan Nanda",,,
crown_vs_stevens_1936,Crown vs. Stevens,60,,,,,,66,"Crime, Drama, Mystery & thriller",English,Michael Powell,Brock Williams,,,
1221483-paa,Paa,67,50,,,2009-12-04,,133,Drama,Hindi,R. Balki,R. Balki,$199.2K,Big Pictures,
f9ab9165-598c-3ac9-bc3e-a5fb2ac517e5,A Tale of Love and Desire,,,,,,,103,Drama,French (France),Leyla Bouzid,Leyla Bouzid,,,
the_last_gentleman,The Last Gentleman,,,,,,,80,Comedy,English,Sidney Lanfield,,,,
sarah_palin_you_betcha,Sarah Palin: You Betcha!,61,32,,,2011-09-30,2017-03-08,90,Documentary,English,"Nick Broomfield,Joan Churchill",,$10.5K,Freestyle Releasing,
1005521-death_of_a_salesman,Death of a Salesman,75,100,,,,2016-01-11,135,Drama,English,Volker Schlöndorff,,,,Stereo
escape_from_alcatraz,Escape From Alcatraz,85,97,,,,1999-03-09,107,"Mystery & thriller, Drama, Action",English,Don Siegel,Richard Tuggle,,,
sheffey,Sheffey,73,,,,,2017-10-07,137,Biography,English,Katherine Stenholm,Tim Rogers,,,
wrong_guy,The Wrong Guy,85,,,,,2013-03-19,87,Comedy,English,David Steinberg,,,,
cold_room,The Cold Room,22,,,,,,105,Mystery & thriller,English,James Dearden,,,,
s_diary,S Diary,63,,,,,,107,"Romance, Comedy",Korean,Jong-kwan Kwon,"Park Sung-kyung,Jong-kwan Kwon",,,
deck_the_halls_2011,Deck the Halls,,,TVPG,"['V', 'L']",,2017-03-10,90,"Holiday, Mystery & thriller, Crime, Drama",English,Ron Underwood,Howard Burkons,,,
